"id","block_proc","avg_liking","cond","category","cuetype","portion","mri_version","run"
2,"like_f2",0,"OfficeSmall","Office","office","Small","2","1"
2,"like_e3",0,"OfficeLarge","Office","office","Large","2","4"
2,"like_a4",99.86,"HighLarge","HighED","food","Large","2","3"
2,"like_b1",97.825,"HighSmall","HighED","food","Small","2","5"
2,"like_a1",66.6666666666667,"HighLarge","HighED","food","Large","2","5"
2,"like_d5",75.895,"LowSmall","LowED","food","Small","2","2"
2,"like_b2",66.6666666666667,"HighSmall","HighED","food","Small","2","1"
2,"like_f1",0,"OfficeSmall","Office","office","Small","2","5"
2,"like_a5",97.4733333333333,"HighLarge","HighED","food","Large","2","2"
2,"like_b4",83.2983333333333,"HighSmall","HighED","food","Small","2","3"
2,"like_c1",5.43833333333333,"LowLarge","LowED","food","Large","2","5"
2,"like_c5",83.3333333333333,"LowLarge","LowED","food","Large","2","2"
2,"like_a2",67.86,"HighLarge","HighED","food","Large","2","1"
2,"like_e1",0,"OfficeLarge","Office","office","Large","2","5"
2,"like_c2",45.755,"LowLarge","LowED","food","Large","2","1"
2,"like_d1",15.4033333333333,"LowSmall","LowED","food","Small","2","5"
2,"like_a3",83.3333333333333,"HighLarge","HighED","food","Large","2","4"
2,"like_b5",100,"HighSmall","HighED","food","Small","2","2"
2,"like_e4",0,"OfficeLarge","Office","office","Large","2","3"
2,"like_e2",0,"OfficeLarge","Office","office","Large","2","1"
2,"like_d2",83.2633333333333,"LowSmall","LowED","food","Small","2","1"
2,"like_d3",8.87666666666667,"LowSmall","LowED","food","Small","2","4"
3,"like_e1",59.265,"OfficeLarge","Office","office","Large","1","1"
3,"like_d2",60.4566666666667,"LowSmall","LowED","food","Small","1","5"
3,"like_e3",35.7916666666667,"OfficeLarge","Office","office","Large","1","2"
3,"like_e2",36.42,"OfficeLarge","Office","office","Large","1","5"
3,"like_d3",48.3866666666667,"LowSmall","LowED","food","Small","1","2"
3,"like_f4",32.9833333333333,"OfficeSmall","Office","office","Small","1","3"
3,"like_f2",43.3333333333333,"OfficeSmall","Office","office","Small","1","5"
3,"like_e5",40.7733333333333,"OfficeLarge","Office","office","Large","1","4"
3,"like_f5",41.44,"OfficeSmall","Office","office","Small","1","4"
3,"like_a2",55.9633333333333,"HighLarge","HighED","food","Large","1","5"
3,"like_a4",48.46,"HighLarge","HighED","food","Large","1","3"
3,"like_d4",49.2633333333333,"LowSmall","LowED","food","Small","1","3"
3,"like_b2",64.4216666666667,"HighSmall","HighED","food","Small","1","5"
3,"like_e4",40.8783333333333,"OfficeLarge","Office","office","Large","1","3"
3,"like_f1",34.9133333333333,"OfficeSmall","Office","office","Small","1","1"
3,"like_a3",68.3866666666667,"HighLarge","HighED","food","Large","1","2"
3,"like_c1",47.0183333333333,"LowLarge","LowED","food","Large","1","1"
3,"like_b4",59.5083333333333,"HighSmall","HighED","food","Small","1","3"
3,"like_c3",70.735,"LowLarge","LowED","food","Large","1","2"
3,"like_c5",76.2816666666667,"LowLarge","LowED","food","Large","1","4"
3,"like_b3",56.0716666666667,"HighSmall","HighED","food","Small","1","2"
3,"like_b5",47.6483333333333,"HighSmall","HighED","food","Small","1","4"
3,"like_f3",26.7033333333333,"OfficeSmall","Office","office","Small","1","2"
3,"like_a1",74.7366666666667,"HighLarge","HighED","food","Large","1","1"
3,"like_d5",55.1933333333333,"LowSmall","LowED","food","Small","1","4"
3,"like_c2",47.405,"LowLarge","LowED","food","Large","1","5"
3,"like_a5",65.9983333333333,"HighLarge","HighED","food","Large","1","4"
3,"like_d1",29.3333333333333,"LowSmall","LowED","food","Small","1","1"
3,"like_c4",31.7533333333333,"LowLarge","LowED","food","Large","1","3"
3,"like_b1",69.3333333333333,"HighSmall","HighED","food","Small","1","1"
4,"like_c5",100,"LowLarge","LowED","food","Large","2","2"
4,"like_d4",100,"LowSmall","LowED","food","Small","2","3"
4,"like_d1",100,"LowSmall","LowED","food","Small","2","5"
4,"like_d3",99.5083333333333,"LowSmall","LowED","food","Small","2","4"
4,"like_f4",83.3333333333333,"OfficeSmall","Office","office","Small","2","3"
4,"like_c1",100,"LowLarge","LowED","food","Large","2","5"
4,"like_d2",100,"LowSmall","LowED","food","Small","2","1"
4,"like_e1",87.5433333333333,"OfficeLarge","Office","office","Large","2","5"
4,"like_a2",100,"HighLarge","HighED","food","Large","2","1"
4,"like_f2",71.3333333333333,"OfficeSmall","Office","office","Small","2","1"
4,"like_e3",86.5266666666667,"OfficeLarge","Office","office","Large","2","4"
4,"like_b2",100,"HighSmall","HighED","food","Small","2","1"
4,"like_d5",99.93,"LowSmall","LowED","food","Small","2","2"
4,"like_a1",99.965,"HighLarge","HighED","food","Large","2","5"
4,"like_c2",99.3333333333333,"LowLarge","LowED","food","Large","2","1"
4,"like_e4",83.0166666666667,"OfficeLarge","Office","office","Large","2","3"
4,"like_e5",48.8433333333333,"OfficeLarge","Office","office","Large","2","2"
4,"like_c3",99.93,"LowLarge","LowED","food","Large","2","4"
4,"like_b4",100,"HighSmall","HighED","food","Small","2","3"
4,"like_b5",100,"HighSmall","HighED","food","Small","2","2"
4,"like_e2",86.0366666666666,"OfficeLarge","Office","office","Large","2","1"
4,"like_f5",66.35,"OfficeSmall","Office","office","Small","2","2"
4,"like_f3",73.7533333333333,"OfficeSmall","Office","office","Small","2","4"
4,"like_b1",99.965,"HighSmall","HighED","food","Small","2","5"
4,"like_b3",100,"HighSmall","HighED","food","Small","2","4"
4,"like_a3",100,"HighLarge","HighED","food","Large","2","4"
4,"like_a5",99.965,"HighLarge","HighED","food","Large","2","2"
4,"like_f1",91.5433333333333,"OfficeSmall","Office","office","Small","2","5"
4,"like_c4",100,"LowLarge","LowED","food","Large","2","3"
4,"like_a4",100,"HighLarge","HighED","food","Large","2","3"
5,"like_c1",NA,"LowLarge","LowED","food","Large",NA,""
5,"like_b4",NA,"HighSmall","HighED","food","Small",NA,""
5,"like_c3",NA,"LowLarge","LowED","food","Large",NA,""
5,"like_c2",NA,"LowLarge","LowED","food","Large",NA,""
5,"like_a5",NA,"HighLarge","HighED","food","Large",NA,""
5,"like_d1",NA,"LowSmall","LowED","food","Small",NA,""
5,"like_e5",NA,"OfficeLarge","Office","office","Large",NA,""
5,"like_f2",NA,"OfficeSmall","Office","office","Small",NA,""
5,"like_c5",NA,"LowLarge","LowED","food","Large",NA,""
5,"like_d2",NA,"LowSmall","LowED","food","Small",NA,""
5,"like_c4",NA,"LowLarge","LowED","food","Large",NA,""
5,"like_b5",NA,"HighSmall","HighED","food","Small",NA,""
5,"like_b2",NA,"HighSmall","HighED","food","Small",NA,""
5,"like_e1",NA,"OfficeLarge","Office","office","Large",NA,""
5,"like_d4",NA,"LowSmall","LowED","food","Small",NA,""
5,"like_f4",NA,"OfficeSmall","Office","office","Small",NA,""
5,"like_b1",NA,"HighSmall","HighED","food","Small",NA,""
5,"like_b3",NA,"HighSmall","HighED","food","Small",NA,""
5,"like_d3",NA,"LowSmall","LowED","food","Small",NA,""
5,"like_f1",NA,"OfficeSmall","Office","office","Small",NA,""
5,"like_a3",NA,"HighLarge","HighED","food","Large",NA,""
5,"like_a4",NA,"HighLarge","HighED","food","Large",NA,""
5,"like_e2",NA,"OfficeLarge","Office","office","Large",NA,""
5,"like_e3",NA,"OfficeLarge","Office","office","Large",NA,""
5,"like_f3",NA,"OfficeSmall","Office","office","Small",NA,""
5,"like_a2",NA,"HighLarge","HighED","food","Large",NA,""
5,"like_d5",NA,"LowSmall","LowED","food","Small",NA,""
5,"like_a1",NA,"HighLarge","HighED","food","Large",NA,""
5,"like_f5",NA,"OfficeSmall","Office","office","Small",NA,""
5,"like_e4",NA,"OfficeLarge","Office","office","Large",NA,""
11,"like_a5",95.2633333333333,"HighLarge","HighED","food","Large","2","2"
11,"like_b4",59.615,"HighSmall","HighED","food","Small","2","3"
11,"like_b5",82.42,"HighSmall","HighED","food","Small","2","2"
11,"like_a3",68.3516666666667,"HighLarge","HighED","food","Large","2","4"
11,"like_c1",54.4916666666667,"LowLarge","LowED","food","Large","2","5"
11,"like_c3",33.3333333333333,"LowLarge","LowED","food","Large","2","4"
11,"like_b2",58.3866666666667,"HighSmall","HighED","food","Small","2","1"
11,"like_c5",55.2266666666667,"LowLarge","LowED","food","Large","2","2"
11,"like_c2",32.7366666666667,"LowLarge","LowED","food","Large","2","1"
11,"like_b1",94.315,"HighSmall","HighED","food","Small","2","5"
11,"like_f2",27.7183333333333,"OfficeSmall","Office","office","Small","2","1"
11,"like_d2",65.8233333333333,"LowSmall","LowED","food","Small","2","1"
11,"like_d4",31.1916666666667,"LowSmall","LowED","food","Small","2","3"
11,"like_e1",25.0883333333333,"OfficeLarge","Office","office","Large","2","5"
11,"like_a4",82,"HighLarge","HighED","food","Large","2","3"
11,"like_f3",23.7183333333333,"OfficeSmall","Office","office","Small","2","4"
11,"like_d1",22.7733333333333,"LowSmall","LowED","food","Small","2","5"
11,"like_c4",15.8933333333333,"LowLarge","LowED","food","Large","2","3"
11,"like_f4",46.42,"OfficeSmall","Office","office","Small","2","3"
11,"like_a1",69.23,"HighLarge","HighED","food","Large","2","5"
11,"like_d3",43.51,"LowSmall","LowED","food","Small","2","4"
11,"like_e3",28.9116666666667,"OfficeLarge","Office","office","Large","2","4"
11,"like_b3",49.1933333333333,"HighSmall","HighED","food","Small","2","4"
11,"like_f5",14.105,"OfficeSmall","Office","office","Small","2","2"
11,"like_a2",55.895,"HighLarge","HighED","food","Large","2","1"
11,"like_d5",33.3333333333333,"LowSmall","LowED","food","Small","2","2"
11,"like_e5",21.7183333333333,"OfficeLarge","Office","office","Large","2","2"
