sub	run	HighLarge	HighSmall	LowLarge	LowSmall	OfficeLarge	OfficeSmall
055	3.0	5.0	5.0	4.0	4.0	4.0	6.0
055	4.0	9.0	9.0	9.0	7.0	6.0	9.0
055	5.0	5.0	7.0	8.0	6.0	5.0	8.0
073	1.0	9.0	9.0	9.0	9.0	9.0	9.0
073	2.0	9.0	9.0	9.0	9.0	9.0	9.0
073	3.0	9.0	9.0	9.0	9.0	9.0	9.0
073	4.0	9.0	9.0	9.0	9.0	9.0	9.0
073	5.0	9.0	9.0	9.0	9.0	9.0	9.0
033	1.0	9.0	9.0	9.0	9.0	9.0	9.0
033	2.0	9.0	9.0	9.0	9.0	9.0	9.0
033	3.0	9.0	9.0	9.0	9.0	9.0	9.0
033	4.0	7.0	7.0	8.0	9.0	9.0	9.0
033	5.0	9.0	9.0	8.0	9.0	9.0	9.0
117	1.0	8.0	7.0	6.0	3.0	8.0	6.0
117	2.0	5.0	4.0	5.0	3.0	7.0	6.0
117	3.0	3.0	3.0	1.0	1.0	3.0	4.0
117	4.0	6.0	0.0	8.0	0.0	2.0	4.0
117	5.0	0.0	4.0	0.0	6.0	5.0	1.0
084	1.0	9.0	8.0	9.0	8.0	8.0	9.0
084	2.0	9.0	7.0	6.0	9.0	9.0	9.0
084	3.0	6.0	4.0	1.0	7.0	8.0	8.0
084	4.0	3.0	5.0	6.0	5.0	9.0	1.0
084	5.0	9.0	6.0	9.0	8.0	7.0	5.0
001	1.0	9.0	9.0	9.0	9.0	9.0	9.0
001	2.0	9.0	9.0	9.0	8.0	9.0	9.0
001	3.0	9.0	8.0	9.0	9.0	9.0	9.0
001	4.0	9.0	9.0	9.0	9.0	9.0	9.0
001	5.0	9.0	8.0	9.0	8.0	9.0	9.0
083	1.0	9.0	9.0	9.0	9.0	9.0	9.0
083	2.0	9.0	9.0	9.0	8.0	9.0	9.0
083	3.0	9.0	9.0	9.0	9.0	9.0	8.0
083	4.0	9.0	9.0	9.0	9.0	9.0	9.0
083	5.0	9.0	9.0	9.0	9.0	9.0	5.0
071	1.0	9.0	9.0	9.0	9.0	9.0	9.0
071	2.0	9.0	9.0	9.0	9.0	9.0	9.0
071	3.0	9.0	9.0	9.0	9.0	7.0	7.0
071	4.0	9.0	9.0	9.0	9.0	9.0	9.0
071	5.0	9.0	9.0	9.0	9.0	9.0	9.0
094	1.0	9.0	9.0	9.0	9.0	9.0	9.0
094	2.0	9.0	9.0	9.0	9.0	9.0	9.0
094	3.0	9.0	9.0	9.0	9.0	9.0	9.0
094	4.0	9.0	8.0	9.0	8.0	4.0	9.0
094	5.0	9.0	9.0	9.0	9.0	9.0	9.0
129	1.0	9.0	9.0	9.0	9.0	9.0	9.0
129	2.0	9.0	9.0	9.0	9.0	9.0	9.0
129	3.0	9.0	9.0	9.0	9.0	9.0	9.0
129	4.0	9.0	9.0	9.0	9.0	9.0	9.0
129	5.0	9.0	9.0	9.0	9.0	9.0	9.0
118	1.0	9.0	9.0	9.0	9.0	9.0	9.0
118	2.0	9.0	9.0	9.0	9.0	9.0	9.0
118	3.0	9.0	9.0	9.0	9.0	9.0	9.0
118	4.0	9.0	9.0	9.0	9.0	9.0	9.0
118	5.0	9.0	9.0	9.0	9.0	9.0	9.0
095	1.0	9.0	9.0	9.0	9.0	9.0	9.0
095	2.0	9.0	9.0	9.0	9.0	9.0	9.0
095	3.0	9.0	9.0	9.0	9.0	9.0	9.0
095	4.0	9.0	9.0	9.0	9.0	8.0	9.0
095	5.0	9.0	9.0	9.0	9.0	9.0	9.0
056	1.0	9.0	8.0	9.0	9.0	9.0	9.0
056	2.0	9.0	5.0	8.0	9.0	9.0	9.0
056	3.0	8.0	9.0	9.0	8.0	9.0	7.0
056	4.0	9.0	7.0	9.0	9.0	7.0	9.0
056	5.0	8.0	7.0	9.0	6.0	9.0	7.0
004	1.0	9.0	9.0	6.0	9.0	6.0	6.0
004	2.0	9.0	9.0	9.0	6.0	9.0	6.0
004	3.0	3.0	7.0	5.0	8.0	9.0	9.0
004	4.0	5.0	0.0	2.0	5.0	7.0	7.0
004	5.0	9.0	9.0	5.0	8.0	9.0	9.0
052	1.0	0.0	4.0	2.0	1.0	6.0	4.0
052	2.0	5.0	4.0	9.0	3.0	8.0	4.0
052	3.0	3.0	4.0	1.0	6.0	3.0	5.0
052	4.0	0.0	1.0	0.0	0.0	0.0	0.0
052	5.0	4.0	1.0	0.0	0.0	3.0	0.0
002	1.0	9.0	9.0	9.0	9.0	9.0	9.0
