sub	run	n_vol	n_censor	p_censor	n_vol_interest	n_censor_interest	p_censor_interest
055	3.0	78.0	40.0	51.3	54.0	26.0	48.1
055	4.0	78.0	5.0	6.4	54.0	5.0	9.3
055	5.0	78.0	20.0	25.6	54.0	15.0	27.8
073	1.0	78.0	0.0	0.0	54.0	0.0	0.0
073	2.0	78.0	0.0	0.0	54.0	0.0	0.0
073	3.0	78.0	1.0	1.3	54.0	0.0	0.0
073	4.0	78.0	1.0	1.3	54.0	0.0	0.0
073	5.0	78.0	0.0	0.0	54.0	0.0	0.0
033	1.0	78.0	0.0	0.0	54.0	0.0	0.0
033	2.0	78.0	1.0	1.3	54.0	0.0	0.0
033	3.0	78.0	2.0	2.6	54.0	0.0	0.0
033	4.0	78.0	11.0	14.1	54.0	5.0	9.3
033	5.0	78.0	6.0	7.7	54.0	1.0	1.9
117	1.0	78.0	24.0	30.8	54.0	16.0	29.6
117	2.0	78.0	29.0	37.2	54.0	24.0	44.4
117	3.0	78.0	59.0	75.6	54.0	39.0	72.2
117	4.0	78.0	52.0	66.7	54.0	34.0	63.0
117	5.0	78.0	51.0	65.4	54.0	38.0	70.4
084	1.0	78.0	8.0	10.3	54.0	3.0	5.6
084	2.0	78.0	10.0	12.8	54.0	5.0	9.3
084	3.0	78.0	31.0	39.7	54.0	20.0	37.0
084	4.0	78.0	36.0	46.2	54.0	25.0	46.3
084	5.0	78.0	12.0	15.4	54.0	10.0	18.5
001	1.0	78.0	0.0	0.0	54.0	0.0	0.0
001	2.0	78.0	1.0	1.3	54.0	1.0	1.9
001	3.0	78.0	1.0	1.3	54.0	1.0	1.9
001	4.0	78.0	0.0	0.0	54.0	0.0	0.0
001	5.0	78.0	6.0	7.7	54.0	2.0	3.7
083	1.0	78.0	0.0	0.0	54.0	0.0	0.0
083	2.0	78.0	1.0	1.3	54.0	1.0	1.9
083	3.0	78.0	1.0	1.3	54.0	1.0	1.9
083	4.0	78.0	0.0	0.0	54.0	0.0	0.0
083	5.0	78.0	4.0	5.1	54.0	4.0	7.4
071	1.0	78.0	0.0	0.0	54.0	0.0	0.0
071	2.0	78.0	0.0	0.0	54.0	0.0	0.0
071	3.0	78.0	4.0	5.1	54.0	4.0	7.4
071	4.0	78.0	1.0	1.3	54.0	0.0	0.0
071	5.0	78.0	0.0	0.0	54.0	0.0	0.0
